Rank,Symbol,Price,Change %,PE,PB,Score,Score %,Rating,52W High,52W Low,From High,From Low,Volume,Indices,Top Reason,Screened At
126,IPCALAB,₹490.70,-0.43%,20.8x,3.7x,36,36%,AVOID,₹971.26,₹358.94,49.5%,+36.7%,20.05M,Pharma,⚠️  Moderate PE (20.8x),06-Aug-2026 06:06 AM
127,APTUS,"₹3,322.71",+0.82%,19.2x,1.9x,36,36%,AVOID,"₹6,322.94","₹2,891.49",47.4%,+14.9%,6.81M,NBFC,✅ Fair PE (19.2x),06-Aug-2026 06:06 AM
128,DALMIACEMEN,"₹1,715.46",+0.56%,44.8x,2.0x,36,36%,AVOID,"₹2,267.03","₹1,495.78",24.3%,+14.7%,21.45M,Cement,❌ High PE (44.8x),06-Aug-2026 06:06 AM
129,PRISM,"₹2,100.85",+1.42%,49.2x,1.6x,36,36%,AVOID,"₹3,633.40","₹1,725.16",42.2%,+21.8%,13.34M,Cement,❌ High PE (49.2x),06-Aug-2026 06:06 AM
130,RPOWER,"₹3,047.17",-0.30%,16.0x,2.6x,36,36%,AVOID,"₹5,099.93","₹2,176.96",40.3%,+40.0%,17.72M,Power,✅ Fair PE (16.0x),06-Aug-2026 06:06 AM
131,UNITDSPR,"₹1,473.23",+1.89%,47.5x,5.4x,35,35%,AVOID,"₹1,914.72","₹1,220.26",23.1%,+20.7%,4.11M,FMCG,❌ High PE (47.5x),06-Aug-2026 06:06 AM
132,AAVAS,"₹4,386.67",-2.92%,27.0x,3.7x,35,35%,AVOID,"₹6,137.63","₹2,524.67",28.5%,+73.8%,14.18M,NBFC,⚠️  Moderate PE (27.0x),06-Aug-2026 06:06 AM
133,PCBL,₹749.21,-2.29%,24.3x,3.3x,35,35%,AVOID,"₹1,430.47",₹477.15,47.6%,+57.0%,17.47M,Chemical,⚠️  Moderate PE (24.3x),06-Aug-2026 06:06 AM
134,UNIONBANK,"₹5,018.58",-1.78%,15.6x,7.1x,34,34%,AVOID,"₹6,937.98","₹3,830.41",27.7%,+31.0%,5.20M,Banking,✅ Fair PE (15.6x),06-Aug-2026 06:06 AM
135,HEXAWARE,"₹1,195.18",+0.52%,33.5x,2.3x,34,34%,AVOID,"₹1,488.29","₹1,060.71",19.7%,+12.7%,17.75M,IT,❌ High PE (33.5x),06-Aug-2026 06:06 AM
136,CYIENT,₹344.63,+0.64%,22.4x,3.7x,34,34%,AVOID,₹600.71,₹308.01,42.6%,+11.9%,6.26M,IT,⚠️  Moderate PE (22.4x),06-Aug-2026 06:06 AM
137,CEATLTD,"₹3,782.79",+3.84%,31.5x,3.3x,34,34%,AVOID,"₹8,031.07","₹3,680.39",52.9%,+2.8%,15.31M,Auto,❌ High PE (31.5x),06-Aug-2026 06:06 AM
138,HINDALCO,"₹3,460.55",-1.73%,18.7x,6.0x,34,34%,AVOID,"₹6,395.99","₹2,336.12",45.9%,+48.1%,18.60M,Steel,✅ Fair PE (18.7x),06-Aug-2026 06:06 AM
139,ISMT,"₹2,604.23",-1.27%,17.6x,4.4x,34,34%,AVOID,"₹3,536.85","₹1,753.74",26.4%,+48.5%,11.98M,Steel,✅ Fair PE (17.6x),06-Aug-2026 06:06 AM
140,LT,"₹2,359.97",-1.24%,16.0x,5.3x,34,34%,AVOID,"₹4,691.89","₹1,597.88",49.7%,+47.7%,16.83M,Infra,✅ Fair PE (16.0x),06-Aug-2026 06:06 AM
141,PIDILITIND,"₹4,567.57",-1.62%,36.2x,7.2x,34,34%,AVOID,"₹6,470.04","₹2,257.36",29.4%,+102.3%,18.90M,Chemical,❌ High PE (36.2x),06-Aug-2026 06:06 AM
142,DABUR,"₹5,005.69",-3.22%,67.8x,6.0x,33,33%,AVOID,"₹5,279.91","₹4,267.59",5.2%,+17.3%,7.22M,FMCG,❌ High PE (67.8x),06-Aug-2026 06:06 AM
143,ULTRACEMCO,₹108.08,-1.52%,32.2x,1.8x,33,33%,AVOID,₹127.84,₹79.32,15.5%,+36.3%,6.17M,Cement,❌ High PE (32.2x),06-Aug-2026 06:06 AM
144,TECHM,"₹2,204.12",+1.75%,22.5x,3.9x,32,32%,AVOID,"₹3,819.43","₹2,011.86",42.3%,+9.6%,2.78M,IT,⚠️  Moderate PE (22.5x),06-Aug-2026 06:06 AM
145,KPITTECH,"₹2,130.53",+0.19%,30.8x,8.0x,32,32%,AVOID,"₹3,305.99","₹1,473.22",35.6%,+44.6%,17.70M,IT,❌ High PE (30.8x),06-Aug-2026 06:06 AM
146,SUNPHARMA,"₹3,355.54",+0.21%,34.2x,6.3x,32,32%,AVOID,"₹3,994.74","₹2,637.74",16.0%,+27.2%,11.30M,Pharma,❌ High PE (34.2x),06-Aug-2026 06:06 AM
147,DRREDDY,"₹4,196.72",+0.58%,37.1x,6.3x,32,32%,AVOID,"₹5,708.96","₹2,875.16",26.5%,+46.0%,25.23M,Pharma,❌ High PE (37.1x),06-Aug-2026 06:06 AM
148,ITC,"₹3,942.77",-3.11%,67.6x,1.8x,32,32%,AVOID,"₹6,365.15","₹2,491.35",38.1%,+58.3%,16.78M,FMCG,❌ High PE (67.6x),06-Aug-2026 06:06 AM
149,RADICO,"₹1,857.12",+0.50%,47.2x,5.1x,32,32%,AVOID,"₹2,198.05","₹1,518.39",15.5%,+22.3%,14.01M,FMCG,❌ High PE (47.2x),06-Aug-2026 06:06 AM
150,PETRONET,"₹1,786.44",-0.84%,9.3x,7.8x,32,32%,AVOID,"₹3,016.74","₹1,615.11",40.8%,+10.6%,5.28M,Energy,✅ Very low PE (9.3x) — deep value!,06-Aug-2026 06:06 AM
151,BAJFINANCE,"₹2,994.21",-5.78%,24.5x,6.7x,32,32%,AVOID,"₹3,990.32","₹2,001.94",25.0%,+49.6%,27.60M,NBFC,⚠️  Moderate PE (24.5x),06-Aug-2026 06:06 AM
152,GUJALKALI,"₹5,647.50",+0.05%,37.3x,6.4x,32,32%,AVOID,"₹6,953.07","₹4,158.98",18.8%,+35.8%,14.67M,Chemical,❌ High PE (37.3x),06-Aug-2026 06:06 AM
153,INFY,₹247.12,+0.06%,31.1x,2.0x,31,31%,AVOID,₹448.07,₹210.54,44.8%,+17.4%,17.11M,IT,❌ High PE (31.1x),06-Aug-2026 06:06 AM
154,IOC,"₹4,055.39",+0.22%,13.2x,5.0x,31,31%,AVOID,"₹5,701.14","₹3,879.97",28.9%,+4.5%,12.77M,Energy,✅ Low PE (13.2x) — good value,06-Aug-2026 06:06 AM
155,SHYAMMETL,"₹1,879.92",-0.14%,24.8x,3.5x,31,31%,AVOID,"₹2,739.60","₹1,426.40",31.4%,+31.8%,13.77M,Steel,⚠️  Moderate PE (24.8x),06-Aug-2026 06:06 AM
156,IRFC,₹557.60,-1.68%,20.9x,3.4x,31,31%,AVOID,₹990.30,₹414.41,43.7%,+34.6%,24.27M,Infra,⚠️  Moderate PE (20.9x),06-Aug-2026 06:06 AM
157,MGL,₹654.11,-4.67%,9.5x,6.1x,30,30%,AVOID,₹916.80,₹628.79,28.7%,+4.0%,10.97M,Energy,✅ Very low PE (9.5x) — deep value!,06-Aug-2026 06:06 AM
158,GODREJPROP,"₹2,376.18",-0.53%,59.5x,6.4x,30,30%,AVOID,"₹3,186.61","₹1,324.04",25.4%,+79.5%,27.39M,Real Estate,❌ High PE (59.5x),06-Aug-2026 06:06 AM
159,LICHOUSFIN,"₹1,838.68",-0.68%,23.8x,6.4x,29,29%,AVOID,"₹2,649.93","₹1,321.40",30.6%,+39.1%,6.13M,NBFC,⚠️  Moderate PE (23.8x),06-Aug-2026 06:06 AM
160,SRF,"₹1,568.76",+0.02%,25.5x,2.2x,29,29%,AVOID,"₹2,492.26","₹1,384.46",37.1%,+13.3%,22.31M,Chemical,⚠️  Moderate PE (25.5x),06-Aug-2026 06:06 AM
161,AUROPHARMA,"₹1,393.63",-2.35%,17.4x,6.4x,27,27%,AVOID,"₹1,947.26","₹1,167.83",28.4%,+19.3%,16.55M,Pharma,✅ Fair PE (17.4x),06-Aug-2026 06:06 AM
162,PFIZER,₹378.49,+0.81%,36.1x,7.0x,27,27%,AVOID,₹991.99,₹368.93,61.8%,+2.6%,11.28M,Pharma,❌ High PE (36.1x),06-Aug-2026 06:06 AM
163,VEDL,"₹1,060.89",+1.20%,21.2x,4.6x,27,27%,AVOID,"₹1,448.91","₹1,032.18",26.8%,+2.8%,702.6K,Steel,⚠️  Moderate PE (21.2x),06-Aug-2026 06:06 AM
164,HFCL,"₹1,739.69",+1.22%,39.7x,6.4x,27,27%,AVOID,"₹2,604.10","₹1,572.94",33.2%,+10.6%,19.40M,Telecom,❌ High PE (39.7x),06-Aug-2026 06:06 AM
165,GRINFRA,"₹3,304.72",-2.21%,21.7x,1.1x,26,26%,AVOID,"₹3,946.51","₹3,166.03",16.3%,+4.4%,9.23M,Infra,⚠️  Moderate PE (21.7x),06-Aug-2026 06:06 AM
166,IIFL,"₹1,570.25",-1.87%,23.3x,1.1x,26,26%,AVOID,"₹2,246.75","₹1,228.18",30.1%,+27.9%,3.01M,NBFC,⚠️  Moderate PE (23.3x),06-Aug-2026 06:06 AM
167,JPPOWER,"₹1,410.23",-2.95%,20.2x,1.7x,26,26%,AVOID,"₹2,521.90","₹1,197.22",44.1%,+17.8%,19.50M,Power,⚠️  Moderate PE (20.2x),06-Aug-2026 06:06 AM
168,BIOCON,₹73.71,-2.75%,30.9x,0.8x,25,25%,AVOID,₹150.35,₹51.99,51.0%,+41.8%,1.05M,Pharma,❌ High PE (30.9x),06-Aug-2026 06:06 AM
169,JKCEMENT,"₹2,152.39",-3.76%,32.5x,4.6x,25,25%,AVOID,"₹2,783.35","₹1,611.60",22.7%,+33.6%,1.79M,Cement,❌ High PE (32.5x),06-Aug-2026 06:06 AM
170,TVSMOTORS,"₹2,055.17",-1.71%,15.9x,5.1x,24,24%,AVOID,"₹3,575.32","₹1,927.47",42.5%,+6.6%,22.41M,Auto,✅ Fair PE (15.9x),06-Aug-2026 06:06 AM
171,BALKRISIND,"₹5,798.46",-3.51%,34.6x,2.5x,24,24%,AVOID,"₹6,930.94","₹3,887.50",16.3%,+49.2%,976.4K,Auto,❌ High PE (34.6x),06-Aug-2026 06:06 AM
172,ADANIENT,"₹1,198.75",-1.25%,27.6x,4.7x,24,24%,AVOID,"₹2,552.38","₹1,041.33",53.0%,+15.1%,8.86M,Infra,⚠️  Moderate PE (27.6x),06-Aug-2026 06:06 AM
173,SOBHA,"₹5,578.00",-1.46%,59.8x,4.7x,24,24%,AVOID,"₹8,123.33","₹3,814.43",31.3%,+46.2%,29.35M,Real Estate,❌ High PE (59.8x),06-Aug-2026 06:06 AM
174,KOTAKBANK,"₹2,526.30",-4.40%,17.4x,4.6x,22,22%,AVOID,"₹3,988.85","₹2,371.07",36.7%,+6.5%,15.46M,Banking,✅ Fair PE (17.4x),06-Aug-2026 06:06 AM
175,IDFCFIRSTB,"₹1,755.36",+0.12%,24.4x,4.9x,22,22%,AVOID,"₹3,640.68","₹1,649.07",51.8%,+6.4%,26.77M,Banking,⚠️  Moderate PE (24.4x),06-Aug-2026 06:06 AM
176,PERSISTENT,"₹1,990.66",-2.72%,34.7x,5.1x,22,22%,AVOID,"₹3,409.21","₹1,391.17",41.6%,+43.1%,25.78M,IT,❌ High PE (34.7x),06-Aug-2026 06:06 AM
177,GODREJCP,₹263.14,-2.11%,31.6x,7.0x,22,22%,AVOID,₹343.86,₹220.81,23.5%,+19.2%,25.90M,FMCG,❌ High PE (31.6x),06-Aug-2026 06:06 AM
178,PVR,"₹2,777.30",-4.18%,21.2x,6.1x,22,22%,AVOID,"₹3,659.08","₹2,712.87",24.1%,+2.4%,13.01M,Infra,⚠️  Moderate PE (21.2x),06-Aug-2026 06:06 AM
179,VEDANT,"₹2,345.96",+0.21%,64.7x,3.2x,22,22%,AVOID,"₹3,975.15","₹2,044.18",41.0%,+14.8%,2.22M,Retail,❌ High PE (64.7x),06-Aug-2026 06:06 AM
180,TATACONSUM,"₹1,417.28",-0.32%,65.2x,6.6x,19,19%,AVOID,"₹2,298.59","₹1,231.22",38.3%,+15.1%,15.81M,FMCG,❌ High PE (65.2x),06-Aug-2026 06:06 AM
181,VMART,₹709.19,-1.38%,51.9x,4.4x,19,19%,AVOID,"₹1,326.57",₹577.29,46.5%,+22.8%,27.78M,Retail,❌ High PE (51.9x),06-Aug-2026 06:06 AM
182,HEROMOTOCO,"₹2,727.95",-0.81%,22.9x,4.1x,17,17%,AVOID,"₹5,349.37","₹2,513.65",49.0%,+8.5%,4.92M,Auto,⚠️  Moderate PE (22.9x),06-Aug-2026 06:06 AM
183,ASHOKLEY,₹314.00,-1.62%,24.0x,6.1x,17,17%,AVOID,₹613.68,₹286.80,48.8%,+9.5%,2.73M,Auto,⚠️  Moderate PE (24.0x),06-Aug-2026 06:06 AM
184,MUTHOOTFIN,"₹2,803.95",-2.90%,24.6x,5.5x,17,17%,AVOID,"₹4,927.63","₹2,604.26",43.1%,+7.7%,22.73M,NBFC,⚠️  Moderate PE (24.6x),06-Aug-2026 06:06 AM
185,STLTECH,₹233.21,-0.45%,44.4x,6.8x,17,17%,AVOID,₹444.71,₹183.44,47.6%,+27.1%,3.16M,Telecom,❌ High PE (44.4x),06-Aug-2026 06:06 AM
186,MPHASIS,₹844.58,-1.28%,36.2x,7.3x,14,14%,AVOID,"₹1,752.30",₹812.46,51.8%,+4.0%,22.90M,IT,❌ High PE (36.2x),06-Aug-2026 06:06 AM
187,LTIM,"₹3,910.50",-3.71%,34.2x,4.6x,12,12%,AVOID,"₹5,431.17","₹3,244.08",28.0%,+20.5%,643.9K,IT,❌ High PE (34.2x),06-Aug-2026 06:06 AM
188,GNFC,₹651.95,-3.75%,40.0x,5.6x,12,12%,AVOID,"₹1,337.97",₹576.00,51.3%,+13.2%,8.15M,Chemical,❌ High PE (40.0x),06-Aug-2026 06:06 AM
